KING,  STEPHEN - PETER STRAUB
MALLERY, SUSAN  - CHASING PERFECT
CARR, ROBYN  - TEMPTATION RIDGE
GRIFFITHS, ELLY   - THE HOUSE AT SEA'S END
WOOD, SHELLEY - THE QUINTLAND SISTERS
MALLERY, SUSAN - A MILLION LITTLE THINGS
CLARK, MARY HIGGINS - KISS THE GIRLS AND MAKE THEM CRY
MACOMBER, DEBBIE  - A CHRISTMAS MESSAGE
ROBERTS, NORA - SOMEDAY WITHOUT YOU
ROBERTS, NORA - STARLIGHT WINTER NIGHTS
EGGERS, DAVE - A HEARTBREAKING WORK OF STAGGERING GENIUS
WOODS, SHERRYL - WELCOME TO SERENITY
RYAN, HANK PHILLIPPI - TURST ME
STEEL, DANIELLE - SPY
THAYNE, RAEANNE - SUMMER AT LAKE HAVEN
LANDAY, WILLIAM - DEFENDING JACOB
HAMILTON, LAUREL K. - INCUBUS DREAMS
CARR, ROBYN - WHISPERING ROCK
BLACK, ARTHUR - A CHIP OFF THE OLD BLACK
McGUIRE, GREGORY - WICKED
FRANCIS, FELIX - TRIPLE CROWN
MANKELL, HENNING - THE MAN WHO SMILED
CARR, ROBYN - A VIRGIN RIVER CHRISTMAS
KING, STEPHEN  - THE INSTITUTE
BOYDEN, JOSEPH - THE ORENDA
ROGERS, ROSEMARY   - RETURN TO ME
MORIARITY, LIANE - NINE PERFECT STRANGERS
MOWAT, FARLEY - THE SNOW WALKER
JAMES, PETER - DEAD TOMORROW
SIMONS, PAULLINA - TATIANA AND ALEXANDER
MALCOLM, ANTHEA - THE COURTSHIP OF PHILIPPA
ROBERTS, NORA - THE McCADE BROTHERS: RAFE AND JARED
MACOMBER, DEBBIE - FINALLY YOU
CENTRE, KATHERINE - HOW TO WALK AWAY
STEEL, DANIELLE - THE NUMBERS GAME
