COULTER, CATHERINE - THE DEVIL'S TRIANGLE
ARCHER, JEFFREY - NOTHING VENTURED
GREGORY, PHILIPPA - TIDELANDS
KELLERMAN, JONATHAN - GUILT
CORNWELL, PATRICIA - FLESH AND BLOOD
BROWN, SANDRA - OVERKILL
WEBB, DEBRA - OBSESSION
BALDACCI, DAVID - WALK THE WIRE
CLARK, MARY HIGGINS - MOONLIGHT BECOMES YOU
BROWN, SANDRA - STING
DEAVER, JEFFREY - THE BURNING WIRE
ARCHER, JEFFREY - OVER MY DEAD BODY
COULTER, CATHERINE - BLIND SIDE
PATTERSON, JAMES & MAXINE PAETRO - 14th DEADLY SIN
DEAVER, JEFFREY - THE EMPTY CHAIR
BROWN, SANDRA - EXCLUSIVE
JACKSON, LISA - PARANOID
CORNWELL, PATRICIA - PORT MORTUARY
BROWN, SANDRA - THE WITNESS
ROBB, J.D.  - SHADOWS IN DEATH
KELLERMAN, JONATHAN - EVIDENCE
CONNELLY, MICHAEL - DARK SCARED NIGHT
PATTERSON, JAMES & MAXINE PAETRO - 15th AFFAIR
CLARK, MARY HIGGINS - YOU DON'T OWN ME
GARWOOD, JULIE - SWEET TALK
CONNELLY, MICHAEL - FAIR WARNING
BROWN, SANDRA - BREATH OF SCANDAL
ARCHER, JEFFREY - HEADS YOU WIN
BROWN, SANDRA - TOUGH CUSTOMER
ROBERTS, NORA - WITHOUT A TRACE
ROBB, J.D. - PROMISES IN DEATH
ROBERTS, NORA - SOMEDAY WITHOUT YOU
ROBERTS, NORA - THE WITNESS
JACKSON, LISA - LOST SOULS
ROBERTS, NORA - DIVINE EVIL
BALDACCI, DAVID - THE FIX
WEBB, WENDY - THE VANISHING
WOODS, STUART - STEALTH
