CALETTI, DEB - WILD ROSES
CALLOW, PAMELA - INDEFENSIBLE
CALVERT, CANDACE - TRAUMA PLAN
CAMERON, W. BRUCE - THE DOGS OF CHRISTMAS
CAMILLERI, ANDREA - THE AGE OF DOUBT
CAMPBELL, BONNIE JO - ONCE UPON A RIVER
CAMPBELL, MICHELE - SHE WAS THE QUIET ONE
CAMPBELL, MICHELLE - A STRANGER ON THE BEACH
CANHAN, MARSHA - MY FOREVER LOVE
CAREY, ELLA - A NEW YORK SECRET
CAREY, ELLA - FROM A PARIS BALCONY
CARR, ROBYN - RETURN TO VIRGIN RIVER
CARR, ROBYN - SUNRISE ON HALF MOON BAY
CARR, ROBYN - THE COUNTRY GUESTHOUSE
CARR, ROBYN - THE LIFE SHE WANTS
CARR, ROBYN - THE VIEW FROM ALAMEIDA ISLAND
CARROLL, CLAUDIA - A SECRET SOMEONE
CASTILE, ZOEY - STRIPPED
CASTILLO, LINDA - DEPTH PERCEPTION
CASTILLO, LINDA - FALLEN
CASTILLO, LINDA - OUTSIDER
CASTILLO, LINDA - SHAMED
CHAMBERLAIN, HOLLY - THE SUMMER NANNY
CHANCE, REBECCA - BAD ANGELS
CHANCE, REBECCA - BAD BRIDES
CHASE, EVE - BLACK RABBIT HALL
CHASE, F.J. - BARGAIN WITH THE DEVIL
CHEFITZ, MITCHELL - THE THIRTY-FOUR HOUR
CHEFITZ, MITCHELL - THE THIRTY-THIRD HOUR
CHIAVERINI, JENNIFER - ELM CREEK QUILTS
CHIAVERINI, JENNIFER - THE LOST QUILTER
CHILD, LEE - MAKE ME
CHILD, LEE - THE HARD WAY
CHOUINARD, M.M. - HER DAUGHTER'S CRY
CHRISTIE, AGATHA - HALLOWE'EN PARTY
CHRISTOPHER, PAUL - THE TEMPLAR CROSS
CHRISTOPHER, PAUL - THE LUCIFER GOSPEL
CHRISTOPHER, PAUL - REMBRANDT'S GHOST
CHRISTOPHER, PAUL - THE SWORD OF THE TEMPLARS
CHRISTOPHER, PAUL - THE TEMPLAR CONSPIRACY
CHRISTOPHER, PAUL - THE TEMPLAR LEGION
CHRISTOPHER, PAUL - THE TEMPLAR THRONE
CHRISTOPHER, PAUL - VALLEY OF THE TEMPLARS
CLANCY, TOM - DEBT OF HONOR
CLANCY, TOM (written by Jeff Rovin & George Galdoresi) - DARK ZONE
CLANCY, TOM (written by Jerome Preisler) - POWER PLAYS
CLANCY, TOM BY MARK GREANEY - TRUE FAITH AND ALLEGIANCE
